what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828612724
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.debug",1490828613864
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828613898
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828616265
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828617273
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828617368
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828620045
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828623481
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828626285
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828626331
started,bundle,org.eclipse.cdt.launch,9.1.0.201702131830,"org.eclipse.cdt.launch",1490828644707
started,bundle,org.eclipse.cdt.dsf.gdb,5.2.0.201702131830,"org.eclipse.cdt.dsf.gdb",1490828644749
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.6.0.201702131830,"org.eclipse.cdt.dsf.gdb.ui",1490828644772
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1490828660108
started,bundle,org.eclipse.launchbar.core,2.1.0.201612052026,"org.eclipse.launchbar.core",1490828660156
started,bundle,org.eclipse.ui.externaltools,3.3.100.v20160518-1858,"org.eclipse.ui.externaltools",1490828662827
started,bundle,org.eclipse.core.externaltools,1.0.400.v20160509-1057,"org.eclipse.core.externaltools",1490828662861
opened,view,org.eclipse.cdt.debug.ui,8.1.0.201702131830,"org.eclipse.cdt.debug.ui.debuggerConsoleView",1490828669556
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1490828674495
activated,perspective,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.DebugPerspective",1490828674554
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.BreakpointView",1490828675044
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.MemoryView",1490828675313
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.RegisterView",1490828675421
opened,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.ModuleView",1490828675494
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1490828685932
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1490828689136
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1490828689718
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.StepOver",1490828696753
activated,view,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.DebugView",1490828704922
executed,command,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui.commands.Terminate",1490828706662
activated,editor,org.eclipse.cdt.ui,6.1.0.201702131830,"org.eclipse.cdt.ui.editor.CEditor",1490828717380
